TEMPO_VIVE_NA_RUA;CONTATO_PARENTE_FORA_RUAS;DATA_NASCIMENTO;IDADE;SEXO;AUXILIO_BRASIL;POP_RUA;GRAU_INSTRUCAO;COR_RACA;Faixa da renda familiar per capita;VAL_REMUNERACAO_MES_PASSADO;CRAS;REGIONAL;FAIXA_DESATUALICACAO_CADASTRAL;MES_ANO_REFERENCIA
Ate seis meses;Nunca;09/02/1993;29;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Entre seis meses e um ano;Nunca;16/07/1999;22;MASCULINO;SIM;SIM;Fundamental completo;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Entre dois e cinco anos;Quase nunca;10/06/1975;46;MASCULINO;SIM;SIM;Medio completo;Branca;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Ate seis meses;Nunca;07/09/1978;43;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Entre cinco e dez anos;Nunca;25/09/1964;57;MASCULINO;SIM;SIM;Fundamental completo;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;LESTE;ate 12 Meses;01/03/2022
Entre dois e cinco anos;Nunca;04/12/1989;32;MASCULINO;SIM;SIM;Fundamental incompleto;Preta;Ate R$105.00;0;CRAS VILA BIQUINHAS;NORTE;ate 12 Meses;01/03/2022
Entre dois e cinco anos;Nunca;20/04/1965;56;MASCULINO;SIM;SIM;Fundamental incompleto;Branca;Ate R$105.00;0;ENDERECO FORA AREA CRAS;LESTE;ate 12 Meses;01/03/2022
Entre dois e cinco anos;Todo mes;15/10/1985;36;MASCULINO;SIM;SIM;Medio completo;Preta;Ate R$105.00;0;ENDERECO FORA AREA CRAS;NOROESTE;ate 12 Meses;01/03/2022
Ate seis meses;Nunca;14/06/1978;43;MASCULINO;SIM;SIM;Fundamental incompleto;Branca;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Entre dois e cinco anos;Todo dia;03/06/1980;41;MASCULINO;SIM;SIM;Medio completo;Branca;Ate R$105.00;170;ENDERECO FORA AREA CRAS;PAMPULHA;ate 12 Meses;01/03/2022
Ate seis meses;Todo ano;15/09/1990;31;MASCULINO;SIM;SIM;Fundamental incompleto;Branca;Ate R$105.00;0;ENDERECO FORA AREA CRAS;NOROESTE;ate 12 Meses;01/03/2022
Entre dois e cinco anos;Quase nunca;06/10/1976;45;MASCULINO;SIM;SIM;Sem instrucao;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;PAMPULHA;ate 12 Meses;01/03/2022
Mais de dez anos;Toda semana;17/09/1976;45;MASCULINO;SIM;SIM;Fundamental incompleto;Preta;Ate R$105.00;0;CRAS VILA BIQUINHAS;NORTE;ate 12 Meses;01/03/2022
Ate seis meses;Nunca;06/10/1979;42;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;NOROESTE;ate 12 Meses;01/03/2022
Entre cinco e dez anos;Nunca;27/02/1991;31;MASCULINO;SIM;SIM;Fundamental completo;Parda;Ate R$105.00;70;ENDERECO FORA AREA CRAS;NOROESTE;ate 12 Meses;01/03/2022
Entre um e dois anos;Quase nunca;07/09/1969;52;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Entre seis meses e um ano;Toda semana;02/10/1978;43;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$105.00;300;ENDERECO FORA AREA CRAS;PAMPULHA;ate 12 Meses;01/03/2022
Ate seis meses;Todo mes;16/01/1975;47;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
